NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
18,845064,3,264,18.16667
18,897864,3,264,20.38889
18,950664,3,264,20.66667
18,1003464,3,264,22.00000
18,1056264,3,264,22.05556
18,1109064,3,264,19.55556
18,1161864,3,264,22.88889
18,1214664,3,264,21.94444
18,1267464,3,264,20.83333
18,1320264,3,264,21.94444
18,1373064,3,264,19.27778
18,1425864,3,264,25.38889
18,1478664,3,264,25.77778
18,1531464,3,264,19.11111
18,1584264,3,264,21.77778
18,1637064,3,264,21.27778
18,1689864,3,264,23.05556
18,1742664,3,264,19.61111
18,1795464,3,264,23.00000
18,1848264,3,264,19.66667
18,1901064,3,264,20.61111
18,1953864,3,264,22.55556
18,2006664,3,264,23.05556
18,2059464,3,264,20.83333
20,264,3,264,22.20000
20,53064,3,264,17.40000
20,105864,3,264,19.85000
20,158664,3,264,21.15000
20,211464,3,264,20.35000
20,264264,3,264,21.65000
20,317064,3,264,19.90000
20,369864,3,264,21.10000
20,422664,3,264,21.55000
20,475464,3,264,20.00000
20,528264,3,264,20.65000
20,581064,3,264,22.20000
20,633864,3,264,19.75000
20,686664,3,264,22.50000
20,739464,3,264,20.25000
20,792264,3,264,19.45000
20,845064,3,264,21.20000
20,897864,3,264,17.80000
20,950664,3,264,21.10000
20,1003464,3,264,20.25000
20,1056264,3,264,20.15000
20,1109064,3,264,22.90000
20,1161864,3,264,21.90000
20,1214664,3,264,19.75000
20,1267464,3,264,23.85000
20,1320264,3,264,20.65000
20,1373064,3,264,22.10000
20,1425864,3,264,21.45000
20,1478664,3,264,22.15000
20,1531464,3,264,20.30000
20,1584264,3,264,21.55000
20,1637064,3,264,22.35000
20,1689864,3,264,21.75000
20,1742664,3,264,20.25000
20,1795464,3,264,20.95000
20,1848264,3,264,18.95000
20,1901064,3,264,24.80000
20,1953864,3,264,21.00000
20,2006664,3,264,23.85000
20,2059464,3,264,23.00000
22,264,3,264,18.22727
22,53064,3,264,20.63636
22,105864,3,264,20.54545
22,158664,3,264,21.36364
22,211464,3,264,19.36364
22,264264,3,264,20.72727
22,317064,3,264,22.90909
22,369864,3,264,22.13636
22,422664,3,264,20.13636
22,475464,3,264,22.09091
22,528264,3,264,21.27273
22,581064,3,264,22.27273
22,633864,3,264,23.63636
22,686664,3,264,19.68182
22,739464,3,264,18.45455
22,792264,3,264,21.36364
22,845064,3,264,21.00000
22,897864,3,264,25.04545
22,950664,3,264,19.77273
22,1003464,3,264,20.00000
22,1056264,3,264,20.72727
22,1109064,3,264,19.95455
22,1161864,3,264,24.81818
22,1214664,3,264,21.04545
22,1267464,3,264,18.86364
22,1320264,3,264,18.90909
22,1373064,3,264,19.54545
22,1425864,3,264,21.81818
22,1478664,3,264,18.04545
22,1531464,3,264,19.13636
22,1584264,3,264,20.81818
22,1637064,3,264,21.72727
22,1689864,3,264,18.36364
22,1742664,3,264,21.04545
22,1795464,3,264,19.27273
22,1848264,3,264,20.27273
22,1901064,3,264,20.59091
22,1953864,3,264,21.81818
22,2006664,3,264,21.40909
22,2059464,3,264,22.72727
24,264,3,264,19.75000
24,53064,3,264,21.41667
