NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
2,21840,4,520,28.00000
2,22360,4,520,26.50000
2,22880,4,520,27.50000
2,23400,4,520,29.50000
2,23920,4,520,26.00000
2,24440,4,520,25.00000
2,24960,4,520,28.00000
2,25480,4,520,25.50000
2,26000,4,520,21.00000
2,26520,4,520,28.00000
2,27040,4,520,25.00000
2,27560,4,520,25.00000
2,28080,4,520,26.00000
2,28600,4,520,20.00000
2,29120,4,520,25.50000
2,29640,4,520,21.50000
2,30160,4,520,21.00000
2,30680,4,520,14.50000
2,31200,4,520,21.00000
2,31720,4,520,21.50000
2,32240,4,520,23.00000
2,32760,4,520,21.00000
2,33280,4,520,21.50000
2,33800,4,520,23.00000
2,34320,4,520,25.50000
2,34840,4,520,25.50000
2,35360,4,520,26.00000
2,35880,4,520,14.50000
2,36400,4,520,20.00000
2,36920,4,520,24.50000
2,37440,4,520,26.00000
2,37960,4,520,22.50000
2,38480,4,520,20.50000
2,39000,4,520,25.00000
2,39520,4,520,24.50000
2,40040,4,520,27.00000
2,40560,4,520,15.00000
2,41080,4,520,21.50000
2,41600,4,520,29.00000
2,42120,4,520,25.00000
2,42640,4,520,21.00000
2,43160,4,520,21.00000
2,43680,4,520,25.00000
2,44200,4,520,25.50000
2,44720,4,520,25.00000
2,45240,4,520,21.00000
2,45760,4,520,22.00000
2,46280,4,520,26.50000
2,46800,4,520,20.00000
2,47320,4,520,23.00000
2,47840,4,520,26.00000
2,48360,4,520,20.00000
2,48880,4,520,20.50000
2,49400,4,520,20.50000
2,49920,4,520,25.50000
2,50440,4,520,21.00000
2,50960,4,520,26.50000
2,51480,4,520,26.50000
2,52000,4,520,26.50000
2,5240,5,524,24.00000
2,5764,5,524,28.50000
2,6288,5,524,30.00000
2,6812,5,524,28.50000
2,7336,5,524,26.50000
2,7860,5,524,24.00000
2,8384,5,524,28.50000
2,8908,5,524,30.00000
2,9432,5,524,25.50000
2,9956,5,524,29.50000
2,10480,5,524,28.00000
2,11004,5,524,24.00000
2,11528,5,524,30.50000
2,12052,5,524,29.00000
2,12576,5,524,24.50000
2,13100,5,524,23.00000
2,13624,5,524,28.50000
2,14148,5,524,30.50000
2,14672,5,524,24.50000
2,15196,5,524,25.00000
2,15720,5,524,29.00000
2,16244,5,524,46.00000
2,16768,5,524,24.50000
2,17292,5,524,28.00000
2,17816,5,524,29.50000
2,18340,5,524,28.50000
2,18864,5,524,22.00000
2,19388,5,524,28.50000
2,19912,5,524,25.00000
2,20436,5,524,29.00000
2,20960,5,524,23.00000
