NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
24,1848264,3,264,10.54167
24,1901064,3,264,18.50000
24,1953864,3,264,9.62500
24,2006664,3,264,19.66667
24,2059464,3,264,15.45833
26,264,3,264,10.03846
26,53064,3,264,17.92308
26,105864,3,264,17.30769
26,158664,3,264,16.73077
26,211464,3,264,15.23077
26,264264,3,264,13.50000
26,317064,3,264,13.07692
26,369864,3,264,19.42308
26,422664,3,264,16.30769
26,475464,3,264,18.53846
26,528264,3,264,9.42308
26,581064,3,264,17.50000
26,633864,3,264,17.15385
26,686664,3,264,9.42308
26,739464,3,264,16.50000
26,792264,3,264,21.26923
26,845064,3,264,22.69231
26,897864,3,264,12.46154
26,950664,3,264,17.46154
26,1003464,3,264,16.38461
26,1056264,3,264,18.57692
26,1109064,3,264,18.30769
26,1161864,3,264,12.11539
26,1214664,3,264,21.69231
26,1267464,3,264,16.96154
26,1320264,3,264,18.80769
26,1373064,3,264,13.80769
26,1425864,3,264,10.46154
26,1478664,3,264,15.73077
26,1531464,3,264,15.15385
26,1584264,3,264,15.50000
26,1637064,3,264,18.03846
26,1689864,3,264,16.88461
26,1742664,3,264,17.42308
26,1795464,3,264,16.76923
26,1848264,3,264,17.92308
26,1901064,3,264,15.80769
26,1953864,3,264,16.30769
26,2006664,3,264,12.03846
26,2059464,3,264,15.92308
28,264,3,264,5.64286
28,53064,3,264,12.67857
28,105864,3,264,18.00000
28,158664,3,264,18.14286
28,211464,3,264,20.39286
28,264264,3,264,16.67857
28,317064,3,264,17.46428
28,369864,3,264,17.67857
28,422664,3,264,13.39286
28,475464,3,264,14.50000
28,528264,3,264,16.96428
28,581064,3,264,16.96428
28,633864,3,264,17.46428
28,686664,3,264,16.96428
28,739464,3,264,17.82143
28,792264,3,264,12.42857
28,845064,3,264,18.28572
28,897864,3,264,16.75000
28,950664,3,264,13.75000
28,1003464,3,264,17.60714
28,1056264,3,264,14.64286
28,1109064,3,264,17.57143
28,1161864,3,264,21.53572
28,1214664,3,264,19.14286
28,1267464,3,264,19.67857
28,1320264,3,264,14.42857
28,1373064,3,264,15.60714
28,1425864,3,264,20.60714
28,1478664,3,264,18.10714
28,1531464,3,264,22.96428
28,1584264,3,264,18.71428
28,1637064,3,264,13.39286
28,1689864,3,264,20.00000
28,1742664,3,264,11.67857
28,1795464,3,264,14.35714
28,1848264,3,264,15.53571
28,1901064,3,264,14.28571
28,1953864,3,264,19.85714
28,2006664,3,264,20.21428
