NUM_OF_CORE,MORSEL_SIZE_A,MORSEL_SIZE_B,colsA,colsB,recSizeA,recSizeB,TimeTaken
2,317064,1003464,3,3,264,264,220.00000
2,317064,1056264,3,3,264,264,198.50000
2,317064,1109064,3,3,264,264,174.00000
2,317064,1161864,3,3,264,264,196.50000
2,317064,1214664,3,3,264,264,204.00000
2,317064,1267464,3,3,264,264,195.00000
2,317064,1320264,3,3,264,264,194.00000
2,317064,1373064,3,3,264,264,188.50000
2,317064,1425864,3,3,264,264,186.00000
2,317064,1478664,3,3,264,264,187.50000
2,317064,1531464,3,3,264,264,183.50000
2,317064,1584264,3,3,264,264,191.50000
2,317064,1637064,3,3,264,264,251.00000
2,317064,1689864,3,3,264,264,183.00000
2,317064,1742664,3,3,264,264,188.50000
2,317064,1795464,3,3,264,264,194.00000
2,317064,1848264,3,3,264,264,203.50000
2,317064,1901064,3,3,264,264,205.50000
2,317064,1953864,3,3,264,264,212.50000
2,317064,2006664,3,3,264,264,211.50000
2,317064,2059464,3,3,264,264,191.00000
2,369864,264,3,3,264,264,208.00000
2,369864,53064,3,3,264,264,214.00000
2,369864,105864,3,3,264,264,187.50000
2,369864,158664,3,3,264,264,187.00000
2,369864,211464,3,3,264,264,177.50000
2,369864,264264,3,3,264,264,195.00000
2,369864,317064,3,3,264,264,180.00000
2,369864,369864,3,3,264,264,195.00000
2,369864,422664,3,3,264,264,200.50000
2,369864,475464,3,3,264,264,187.00000
2,369864,528264,3,3,264,264,188.00000
2,369864,581064,3,3,264,264,203.00000
2,369864,633864,3,3,264,264,187.50000
2,369864,686664,3,3,264,264,209.00000
2,369864,739464,3,3,264,264,194.00000
2,369864,792264,3,3,264,264,196.50000
2,369864,845064,3,3,264,264,163.50000
2,369864,897864,3,3,264,264,191.50000
2,369864,950664,3,3,264,264,207.50000
2,369864,1003464,3,3,264,264,188.00000
2,369864,1056264,3,3,264,264,173.50000
2,369864,1109064,3,3,264,264,197.00000
2,369864,1161864,3,3,264,264,160.50000
2,369864,1214664,3,3,264,264,194.50000
2,369864,1267464,3,3,264,264,196.00000
2,369864,1320264,3,3,264,264,191.50000
2,369864,1373064,3,3,264,264,204.00000
